index,ozone
1,41
2,36
3,12
4,18
5,23
6,19
7,8
8,16
9,11
10,14
11,18
12,14
13,34
14,6
15,30
16,11
17,1
18,11
19,4
20,32
21,23
22,45
23,115
24,37
25,29
26,71
27,39
28,23
29,21
30,37
31,20
32,12
33,13
34,135
35,49
36,32
37,64
38,40
39,77
40,97
41,97
42,85
43,10
44,27
45,7
46,48
47,35
48,61
49,79
50,63
51,16
52,80
53,108
54,20
55,52
56,82
57,50
58,64
59,59
60,39
61,9
62,16
63,122
64,89
65,110
66,44
67,28
68,65
69,22
70,59
71,23
72,31
73,44
74,21
75,9
76,45
77,168
78,73
79,76
80,118
81,84
82,85
83,96
84,78
85,73
86,91
87,47
88,32
89,20
90,23
91,21
92,24
93,44
94,21
95,28
96,9
97,13
98,46
99,18
100,13
101,24
102,16
103,13
104,23
105,36
106,7
107,14
108,30
109,14
110,18
111,20
