index,X,radiation,temperature,wind
1,1,190,67,7.4
2,2,118,72,8.0
3,3,149,74,12.6
4,4,313,62,11.5
5,5,299,65,8.6
6,6,99,59,13.8
7,7,19,61,20.1
8,8,256,69,9.7
9,9,290,66,9.2
10,10,274,68,10.9
11,11,65,58,13.2
12,12,334,64,11.5
13,13,307,66,12.0
14,14,78,57,18.4
15,15,322,68,11.5
16,16,44,62,9.7
17,17,8,59,9.7
18,18,320,73,16.6
19,19,25,61,9.7
20,20,92,61,12.0
21,21,13,67,12.0
22,22,252,81,14.9
23,23,223,79,5.7
24,24,279,76,7.4
25,25,127,82,9.7
26,26,291,90,13.8
27,27,323,87,11.5
28,28,148,82,8.0
29,29,191,77,14.9
30,30,284,72,20.7
31,31,37,65,9.2
32,32,120,73,11.5
33,33,137,76,10.3
34,34,269,84,4.0
35,35,248,85,9.2
36,36,236,81,9.2
37,37,175,83,4.6
38,38,314,83,10.9
39,39,276,88,5.1
40,40,267,92,6.3
41,41,272,92,5.7
42,42,175,89,7.4
43,43,264,73,14.3
44,44,175,81,14.9
45,45,48,80,14.3
46,46,260,81,6.9
47,47,274,82,10.3
48,48,285,84,6.3
49,49,187,87,5.1
50,50,220,85,11.5
51,51,7,74,6.9
52,52,294,86,8.6
53,53,223,85,8.0
54,54,81,82,8.6
55,55,82,86,12.0
56,56,213,88,7.4
57,57,275,86,7.4
58,58,253,83,7.4
59,59,254,81,9.2
60,60,83,81,6.9
61,61,24,81,13.8
62,62,77,82,7.4
63,63,255,89,4.0
64,64,229,90,10.3
65,65,207,90,8.0
66,66,192,86,11.5
67,67,273,82,11.5
68,68,157,80,9.7
69,69,71,77,10.3
70,70,51,79,6.3
71,71,115,76,7.4
72,72,244,78,10.9
73,73,190,78,10.3
74,74,259,77,15.5
75,75,36,72,14.3
76,76,212,79,9.7
77,77,238,81,3.4
78,78,215,86,8.0
79,79,203,97,9.7
80,80,225,94,2.3
81,81,237,96,6.3
82,82,188,94,6.3
83,83,167,91,6.9
84,84,197,92,5.1
85,85,183,93,2.8
86,86,189,93,4.6
87,87,95,87,7.4
88,88,92,84,15.5
89,89,252,80,10.9
90,90,220,78,10.3
91,91,230,75,10.9
92,92,259,73,9.7
93,93,236,81,14.9
94,94,259,76,15.5
95,95,238,77,6.3
96,96,24,71,10.9
97,97,112,71,11.5
98,98,237,78,6.9
99,99,224,67,13.8
100,100,27,76,10.3
101,101,238,68,10.3
102,102,201,82,8.0
103,103,238,64,12.6
104,104,14,71,9.2
105,105,139,81,10.3
106,106,49,69,10.3
107,107,20,63,16.6
108,108,193,70,6.9
109,109,191,75,14.3
110,110,131,76,8.0
111,111,223,68,11.5
