,wind
0,7.4
1,8.0
2,12.6
3,11.5
4,8.6
5,13.8
6,20.1
7,9.7
8,9.2
9,10.9
10,13.2
11,11.5
12,12.0
13,18.4
14,11.5
15,9.7
16,9.7
17,16.6
18,9.7
19,12.0
20,12.0
21,14.9
22,5.7
23,7.4
24,9.7
25,13.8
26,11.5
27,8.0
28,14.9
29,20.7
30,9.2
31,11.5
32,10.3
33,4.0
34,9.2
35,9.2
36,4.6
37,10.9
38,5.1
39,6.3
40,5.7
41,7.4
42,14.3
43,14.9
44,14.3
45,6.9
46,10.3
47,6.3
48,5.1
49,11.5
50,6.9
51,8.6
52,8.0
53,8.6
54,12.0
55,7.4
56,7.4
57,7.4
58,9.2
59,6.9
60,13.8
61,7.4
62,4.0
63,10.3
64,8.0
65,11.5
66,11.5
67,9.7
68,10.3
69,6.3
70,7.4
71,10.9
72,10.3
73,15.5
74,14.3
75,9.7
76,3.4
77,8.0
78,9.7
79,2.3
80,6.3
81,6.3
82,6.9
83,5.1
84,2.8
85,4.6
86,7.4
87,15.5
88,10.9
89,10.3
90,10.9
91,9.7
92,14.9
93,15.5
94,6.3
95,10.9
96,11.5
97,6.9
98,13.8
99,10.3
100,10.3
101,8.0
102,12.6
103,9.2
104,10.3
105,10.3
106,16.6
107,6.9
108,14.3
109,8.0
110,11.5
