,predicciones
0,30.893794126775187
1,27.827283740344328
2,15.456385092316463
3,16.5731805945034
4,23.88713163862391
5,16.397918214813508
6,8.227925826028311
7,24.547422811235187
8,23.414394566917284
9,21.15357196887789
10,14.59737946815147
11,19.462338549377804
12,18.77389253403009
13,12.404811372212318
14,22.429098676639523
15,15.339211516525236
16,10.712672711949697
17,26.38770219520042
18,13.202641369487925
19,17.68235222542694
20,11.731211456768758
21,36.823135025407666
22,77.13869658157867
23,49.01948314031628
24,37.595710969327065
25,65.68887194533113
26,50.56451862748716
27,44.54010762634236
28,22.38580199519209
29,25.577858353822826
30,16.379414884521847
31,16.89356323523047
32,24.08436721221986
33,112.47129569953057
34,61.47076613962794
35,46.48076519424434
36,78.46240953227863
37,37.386629162958585
38,97.87615826460365
39,88.97325601147453
40,92.70794586275531
41,74.19461939795923
42,21.596383555584072
43,31.887920637004576
44,18.487662628712336
45,65.74066486162761
46,41.70872813942827
47,77.13811933764259
48,81.86023035840918
49,57.69535141621611
50,25.970838315561874
51,60.97123944429068
52,68.66359820570597
53,35.14957799501505
54,38.28804836157378
55,78.53058716300741
56,71.58493861882624
57,66.03380818891817
58,44.470111864782
59,38.20253515394042
60,18.786190341504675
61,38.13552874073614
62,107.18568937395705
63,73.8398419367505
64,81.3978750249626
65,59.63976760586684
66,40.31207991942446
67,34.37040503474102
68,22.28310645042711
69,34.9608015508998
70,32.66532158467602
71,31.586456603769346
72,31.187309363088502
73,26.938013109680398
74,13.393661995689243
75,37.84684521149507
76,120.7004520915535
77,71.93915333516617
78,84.45506105658575
79,113.0045475914915
80,93.81079712113237
81,87.38180366216164
82,76.52012404602823
83,90.1166261101022
84,94.98847123757129
85,89.86109310692405
86,54.69631827235668
87,28.421504277915506
88,35.701503098227676
89,33.49160680753408
90,26.79110112067881
91,27.313965234484186
92,36.46054317596641
93,25.352894218304154
94,66.03717310909246
95,14.88368615745248
96,17.476108159525364
97,59.99752414452351
98,13.96335494448659
99,19.795737048555537
100,22.41065901129581
101,56.08472210977122
102,16.002867471697293
103,17.328017443757098
104,34.93695993808779
105,16.794499103150628
106,9.958504976569287
107,38.93525613196237
108,19.207351796438715
109,30.903937795680818
110,19.284972635069405
