,predicciones
0,9.424197824264171
1,11.02173033683935
2,11.57295466157716
3,7.884286107222083
4,8.792491975155851
5,7.019937931386851
6,7.591432701502594
7,10.070680753840533
8,9.105760345824011
9,9.746438229184578
10,6.740377640678108
11,8.48468292467706
12,9.105760345824011
13,6.463900585104251
14,9.746438229184578
15,7.884286107222083
16,7.019937931386851
17,11.309999210890764
18,7.591432701502594
19,7.591432701502594
20,9.424197824264171
21,14.596745842556393
22,14.421135365105014
23,13.613564790505588
24,14.708488964038441
25,14.337807030375387
26,14.629324503618188
27,14.708488964038441
28,13.802971920734706
29,11.02173033683935
30,8.792491975155851
31,11.309999210890764
32,13.613564790505588
33,14.783830897458648
34,14.79321192862137
35,14.596745842556393
36,14.750368080272066
37,14.750368080272066
38,14.70722427595403
39,14.360000355017956
40,14.360000355017956
41,14.643007034745855
42,11.309999210890764
43,14.596745842556393
44,14.304879616264493
45,14.596745842556393
46,14.708488964038441
47,14.783830897458648
48,14.629324503618188
49,14.79321192862137
50,11.57295466157716
51,14.783059021572729
52,14.79321192862137
53,14.708488964038441
54,14.783059021572729
55,14.70722427595403
56,14.783059021572729
57,14.750368080272066
58,14.596745842556393
59,14.596745842556393
60,14.596745842556393
61,14.708488964038441
62,14.643007034745855
63,14.337807030375387
64,14.337807030375387
65,14.783059021572729
66,14.708488964038441
67,14.304879616264493
68,13.802971920734706
69,14.421135365105014
70,13.613564790505588
71,14.207253696168173
72,14.207253696168173
73,13.802971920734706
74,11.02173033683935
75,14.421135365105014
76,14.596745842556393
77,14.783059021572729
78,13.620437404510366
79,14.102483177145302
80,13.792561301978512
81,14.102483177145302
82,14.468395031059996
83,14.360000355017956
84,14.237906476845179
85,14.237906476845179
86,14.629324503618188
87,14.783830897458648
88,14.304879616264493
89,14.207253696168173
90,11.473162800230297
91,11.309999210890764
92,14.596745842556393
93,13.613564790505588
94,13.802971920734706
95,9.862162791704334
96,9.862162791704334
97,14.207253696168173
98,9.424197824264171
99,13.613564790505588
100,9.746438229184578
101,14.708488964038441
102,8.48468292467706
103,9.862162791704334
104,14.596745842556393
105,10.070680753840533
106,6.231003168670331
107,9.431322843552293
108,11.473162800230297
109,13.613564790505588
110,9.746438229184578
